Genre,B.Number,Opus,Date,Czech.Title,English.Title,Instrumentation,Remarks
Piano,1,_,1856,Polka pomn_nka C dur,Forget-me-not Polka in C major,for piano,
Choral,2,_,1857_1859,M_e B dur,Mass in B_ major,,lost
Piano,3,_,1860,Polka E dur,Polka in E major,for piano,
Orchestral,4,_,1860?,Harfenice,The Woman Harpist,for orchestra,polka; lost
Orchestral,5,_,1861,Polka,Polka,for orchestra,lost
Orchestral,6,_,1861,Galop,Gallop,for orchestra,lost
Chamber music,7,1,1861,Smy_cov_ kvintet _. 1 a moll,String Quintet No. 1 in A minor,"for 2 violins, 2 violas and cello",
Chamber music,8,2,1862,Smy_cov_ kvartet _. 1 A dur,String Quartet No. 1 in A major,"for 2 violins, viola and cello",
Orchestral,9,3,1865,Symfonie _. 1 c moll ãZlonick_ zvonyÒ,"Symphony No. 1 in C minor ""The Bells of Zlonice""",for orchestra,
Concertante,10,_,1865,Koncert pro violoncello a orchestr A dur,Cello Concerto in A major,for cello and orchestra,orchestrated by Jarmil Burghauser
Vocal,11,_,1865,Cyp_i_e,Cypresses,for voice and piano,18 songs on poems by Gustav Pfleger Moravsk_;
"selections arranged for string quartet in 1887, B. 152",,,,,,,
Orchestral,12,4,1865,Symfonie _. 2 B dur,Symphony No. 2 in B_ major,for orchestra,
Vocal,13,_,1865,Dv_ p’sn_ pro baryton a klav’r,2 Songs,for baritone and piano,
Chamber music,14,_,1865_1869,Kvintet pro klarinet a smy_ce b moll,Clarinet Quintet in B_ minor,"for clarinet, 2 violins, viola and cello",lost
Orchestral,15,_,1867,Sedm meziaktn’ch skladeb,7 Interludes,for orchestra,
Chamber music,15bis,_,1867,Seren‡da,Serenade,"for flute, violin, viola and triangle",
Opera,16,_,1870,Alfred,Alfred,,heroic opera in 3 acts
Orchestral,16a,_,1870,Tragick‡ (Dramatick‡) ouvertura,Tragic Overture (Dramatic Overture),for orchestra,"overture to the opera Alfred, B. 16"
Chamber music,17,_,1869_1869,Smy_cov_ kvartet _. 2 B dur,String Quartet No. 2 in B_ major,"for 2 violins, viola and cello",
Chamber music,18,_,1869_1870,Smy_cov_ kvartet _. 3 D dur,String Quartet No. 3 in D major,"for 2 violins, viola and cello",
Chamber music,19,_,1870,Smy_cov_ kvartet _. 4 e moll,String Quartet No. 4 in E minor,"for 2 violins, viola and cello",
Chamber music,20,_,1870_1871,Violoncellov‡ son‡ta f moll,Cello Sonata in F minor,for cello and piano,"cello part only, piano part lost"
Opera,21,12,1871,Kr‡l a uhl’_,King and Charcoal Burner,,comic opera; 1st setting of text (later versions are entirely different music)
Orchestral,21a,12,1871,Koncertn’ ouvertura F dur,Concert Overture in F major,for orchestra,from the 1st version of King and Charcoal Burner
Piano,22,_,1871_1873,Motivy z opery ãKr‡l a uhl’_Ò [1],Potpourri on King and Charcoal Burner [1],for piano,
Vocal,23,_,1871,P’sn_ na slova Eli_ky Kr‡snohorsk_,Songs on Words by Eli_ka Kr‡snohorsk‡,for voice and piano,5 songs
Vocal,24,_,1871,Sirotek,The Orphan,for voice and piano,after a ballad by Karel Jarom’r Erben
Vocal,24a,_,1871,Rozmar_na,Rosmarine,for voice and piano,after a poem by Karel Jarom’r Erben
Chamber music,25,13/1,1871_1872,Klav’rn’ trio,Piano Trio,"for violin, cello and piano",lost
Chamber music,26,13/2,1871_1872,Klav’rn’ trio,Piano Trio,"for violin, cello and piano",lost
Choral,27,_,1872,D_dicov_ bil_ hory,The Heirs of the White Mountain,for chorus and orchestra,hymn after a poem by V’t_zslav H‡lek
Chamber music,28,5,1872,Klav’rn’ kvintet _. 1 A dur,Piano Quintet No. 1 in A major,"for 2 violins, viola, cello and piano",
Vocal,29,6,1872,_ty_i p’sn_ na slova srbsk_ lidov_ poezie,4 Songs on Serbian Folk Poems,for voice and piano,
Vocal,30,7,1872,P’sn_ z rukopisu ãKr‡lov_dvorsk_hoÒ,"Songs from the ""Dv_r Kr‡lov_"" Manuscript",,
(Queen's Court Manuscript),for voice and piano,6 songs,,,,,
Orchestral,31,_,1872,T_i nokturna,,,
2. M‡jov‡ noc,,,,,,,
3 Nocturnes,,,,,,,
2. May Night,,,,,,,
for orchestra,No. 1 and No. 3 lost,,,,,,
Piano,32,8,1872,Silhouetty,Silhouettes,for piano,early version of B. 98
MENU0:00,,,,,,,
Chamber music,33,_,1873,Houslov‡ son‡ta a moll,Violin Sonata in A minor,for violin and piano,lost
Orchestral,34,10,1873,Symfonie _. 3 Es dur,Symphony No. 3 in E_ major,for orchestra,
Orchestral,35,_,1873,"Romeo a Julia, p_edehra",Romeo and Juliet Overture,for orchestra,lost
Chamber music,36,_,1873,Oktet (Seren‡da),Octet (Serenade),"for clarinet, bassoon, horn, 2 violins, viola, double bass and piano",lost
Chamber music,37,9,1873,Smy_cov_ kvartet _. 5 f moll,String Quartet No. 5 in F minor,"for 2 violins, viola and cello",
Chamber music,38,11,1873_1877,Romance f moll pro housle a klav’r,Romance in F minor,for violin and piano,
Concertante,39,11,1877,Romance f moll pro housle a orchestr,Romance in F minor,for violin and orchestra,arrangement of B. 38
Chamber music,40,12,1873,Smy_cov_ kvartet _. 6 a moll,String Quartet No. 6 in A minor,"for 2 violins, viola and cello",
Chamber music,40a,_,1873,Andante appassionato f dur,Andante appassionato in F major,"for 2 violins, viola and cello",
Orchestral,41,13,1874,Symfonie _. 4 d moll,Symphony No. 4 in D minor,for orchestra,
Opera,42,14,1874,Kr‡l a uhl’_,King and Charcoal Burner,,2nd setting of text
Piano,43,_,1874_1875,Motivy z opery ãKr‡l a uhl’_Ò [2],Potpourri on King and Charcoal Burner [2],for piano,
Orchestral,44,14,1874,Symfonick‡ b‡se_ (Rapsodie) a moll,Symphonic Poem (Rhapsody) in A minor,for orchestra,
Chamber music,45,16,1874,Smy_cov_ kvartet _. 7 a moll,String Quartet No. 7 in A minor,"for 2 violins, viola and cello",
Opera,46,17,1874,Tvrd_ palice,The Stubborn Lovers,,comic opera in 1 act; libretto by Josef _tolba
Orchestral,47,40,1875,Nokturno H dur pro smy_ce,Nocturne in B major,for string orchestra,revised 1882_1883
Chamber music,48a,40,1875_1883,Nokturno H dur pro housle a klav’r,Nocturne in B major,for violin and piano,
Piano,48b,40,1875,Nokturno H dur,Nocturne in B major,for piano 4-hands,
Chamber music,49,77,1875,Smy_cov_ kvintet _. 2 G dur,String Quintet No. 2 in G major,"for 2 violins, viola, cello and double bass",formerly Op. 18
Vocal,50,20,1875,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano (or alto), tenor and piano",4 songs
