Opus.Number,Burghauser.Catalog.Number,Composed.Year,Czech.Title,English.Title,Instrumentation,Premiere.Date,Premiere.Place,Premiere.Performers,Main .Key,Parts.Mvmts,Duration.mins,Genre,Notes
0,1,1856,Polka pomn_nka C dur,Forget-me-not Polka in C major,for piano,,,,,,,Piano,
0,2,1857,M_e B dur,Mass in B_ major,,,,,,,,Choral,
0,3,1860,Polka E dur,Polka in E major,for piano,,,,,,,Piano,
0,4,1860,Harfenice,The Woman Harpist,Orchestral,,,,,,,Orchestral,
0,5,1861,Polka,Polka,Orchestral,,,,,,,Orchestral,
0,6,1861,Galop,Gallop,Orchestral,,,,,,,Orchestral,
1,7,1861,Smy_cov_ kvintet _. 1 a moll,String Quintet No. 1 in A minor,"for 2 violins, 2 violas and cello",,,,,,,Chamber Music,
2,8,1862,Smy_cov_ kvartet _. 1 A dur,String Quartet No. 1 in A major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
3,9,1865,Symfonie _. 1 c moll ÜZlonick_ zvony–,"Symphony No. 1 in C minor ""The Bells of Zlonice""",Orchestral,,,,,,,Orchestral,
0,10,1865,Koncert pro violoncello a orchestr A dur,Cello Concerto in A major,for cello and orchestra,,,,,,,Concertante,
0,11,1865,Cyp_i_e,Cypresses,for voice and piano,,,,,,,Vocal,
,,1887,,,,,,,,,,Chamber Music,"selections arranged for string quartet in 1887, B. 152"
4,12,1865,Symfonie _. 2 B dur,Symphony No. 2 in B_ major,Orchestral,,,,,,,Orchestral,
0,13,1865,Dv_ pÍsn_ pro baryton a klavÍr,2 Songs,for baritone and piano,,,,,,,Vocal,
0,14,1865,Kvintet pro klarinet a smy_ce b moll,Clarinet Quintet in B_ minor,"for clarinet, 2 violins, viola and cello",,,,,,,Chamber Music,
0,15,1867,Sedm meziaktnÍch skladeb,7 Interludes,Orchestral,,,,,,,Orchestral,
0,15bis,1867,Serenˆda,Serenade,"for flute, violin, viola and triangle",,,,,,,Chamber Music,
0,16,1870,Alfred,Alfred,,,,,,,,Opera,
0,16a,1870,Tragickˆ (Dramatickˆ) ouvertura,Tragic Overture (Dramatic Overture),Orchestral,,,,,,,Orchestral,
0,17,1869,Smy_cov_ kvartet _. 2 B dur,String Quartet No. 2 in B_ major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
0,18,1869,Smy_cov_ kvartet _. 3 D dur,String Quartet No. 3 in D major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
0,19,1870,Smy_cov_ kvartet _. 4 e moll,String Quartet No. 4 in E minor,"for 2 violins, viola and cello",,,,,,,Chamber Music,
